Student_ID,Age,Gender,Grade_Level,Field_of_Study,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Subject,Instructor_VR_Proficiency,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Stress_Level_with_VR_Usage,Collaboration_with_Peers_via_VR,Feedback_from_Educators_on_VR,Interest_in_Continuing_VR_Based_Learning,Region,School_Support_for_VR_in_Curriculum,creativity_index
STUD0016,18,Female,Postgraduate,Law,Yes,3,1,Yes,Art,Beginner,5,No,1,High,Yes,Positive,No,Oceania,No,1.0
STUD0017,28,Non-binary,Undergraduate,Medicine,No,9,1,Yes,Biology,Beginner,4,Yes,3,Low,Yes,Positive,No,South America,Yes,3.0
STUD0018,18,Female,High School,Business,Yes,10,1,No,Economics,Advanced,4,Yes,5,Medium,Yes,Negative,No,Europe,No,5.0
STUD0019,16,Female,High School,Law,No,4,3,Yes,Economics,Advanced,5,No,4,High,No,Neutral,Yes,North America,Yes,4.0
STUD0020,16,Female,High School,Education,Yes,8,3,Yes,Physics,Intermediate,1,No,3,Medium,Yes,Negative,No,Europe,Yes,3.0
STUD0021,24,Non-binary,High School,Business,Yes,8,3,No,Economics,Beginner,2,Yes,4,Low,No,Positive,Yes,Oceania,Yes,4.0
STUD0022,16,Female,Postgraduate,Medicine,No,9,3,Yes,Biology,Intermediate,3,No,2,Low,No,Neutral,No,North America,Yes,2.0
STUD0023,27,Prefer not to say,High School,Arts,Yes,9,3,Yes,Biology,Advanced,1,No,5,High,No,Neutral,Yes,Africa,No,5.0
STUD0024,17,Non-binary,Undergraduate,Engineering,Yes,4,3,Yes,Computer Science,Intermediate,5,Yes,1,Medium,Yes,Negative,No,Oceania,Yes,1.0
STUD0025,16,Non-binary,Undergraduate,Education,Yes,7,4,No,Math,Advanced,1,No,5,Medium,Yes,Neutral,No,Europe,No,5.0
STUD0026,15,Male,Undergraduate,Engineering,No,3,1,No,History,Beginner,2,No,3,High,No,Negative,Yes,Oceania,Yes,3.0
STUD0027,25,Male,Undergraduate,Science,Yes,1,2,Yes,History,Advanced,5,Yes,4,High,Yes,Neutral,Yes,Asia,Yes,4.0
STUD0028,15,Non-binary,Undergraduate,Science,Yes,3,4,Yes,History,Beginner,3,No,4,Low,Yes,Negative,No,North America,No,4.0
STUD0029,23,Female,High School,Arts,Yes,5,4,No,Art,Intermediate,4,No,1,Low,Yes,Neutral,Yes,Oceania,No,1.0
STUD0030,25,Non-binary,Postgraduate,Engineering,Yes,10,5,Yes,History,Intermediate,2,No,1,Medium,No,Neutral,No,Africa,No,1.0
STUD0031,16,Prefer not to say,Postgraduate,Business,Yes,6,5,No,History,Advanced,1,No,1,Medium,Yes,Neutral,No,Asia,Yes,1.0
STUD0032,12,Female,High School,Medicine,No,0,5,No,Computer Science,Advanced,3,No,5,High,No,Negative,Yes,Europe,Yes,5.0
STUD0033,22,Male,Postgraduate,Arts,No,8,3,Yes,Computer Science,Intermediate,4,No,2,Low,Yes,Positive,No,North America,Yes,2.0
STUD0034,18,Prefer not to say,Undergraduate,Arts,No,8,3,Yes,Math,Advanced,3,No,5,High,Yes,Neutral,No,North America,Yes,5.0
STUD0035,15,Male,High School,Engineering,No,4,4,No,Computer Science,Beginner,5,Yes,1,Medium,Yes,Negative,No,Africa,Yes,1.0
STUD0036,12,Male,Undergraduate,Law,No,1,1,No,Math,Beginner,2,Yes,4,Low,No,Neutral,Yes,Asia,Yes,4.0
STUD0037,15,Male,High School,Science,Yes,3,5,Yes,Biology,Advanced,4,No,5,High,No,Negative,Yes,Europe,No,5.0
STUD0038,30,Male,Undergraduate,Law,Yes,6,1,No,Economics,Advanced,3,Yes,5,Low,Yes,Positive,No,Europe,No,5.0
STUD0039,12,Prefer not to say,Undergraduate,Arts,Yes,7,5,No,Physics,Intermediate,5,No,5,High,No,Neutral,Yes,South America,No,5.0
STUD0040,29,Female,Postgraduate,Arts,No,4,4,No,Computer Science,Beginner,3,Yes,3,Low,Yes,Negative,No,Asia,No,3.0
STUD0041,16,Prefer not to say,Undergraduate,Education,No,8,5,Yes,Art,Advanced,5,Yes,5,High,Yes,Neutral,No,South America,No,5.0
STUD0042,26,Female,Postgraduate,Business,Yes,7,3,No,Physics,Advanced,1,No,2,Low,No,Neutral,Yes,Asia,No,2.0
STUD0043,28,Female,Undergraduate,Arts,No,0,3,No,Physics,Beginner,3,Yes,4,Medium,No,Positive,Yes,Africa,Yes,4.0
STUD0044,15,Male,High School,Science,No,2,2,Yes,Computer Science,Advanced,1,No,2,Medium,No,Neutral,No,South America,Yes,2.0
STUD0045,30,Non-binary,Postgraduate,Education,Yes,0,5,Yes,Biology,Advanced,1,No,2,High,No,Neutral,Yes,Asia,No,2.0
STUD0046,26,Female,Undergraduate,Engineering,Yes,0,5,Yes,History,Beginner,3,No,5,Medium,Yes,Positive,No,Oceania,No,5.0
STUD0047,26,Female,High School,Arts,Yes,6,4,Yes,Art,Advanced,3,Yes,3,High,Yes,Neutral,No,Asia,Yes,3.0
STUD0048,19,Male,Postgraduate,Science,Yes,10,4,Yes,Math,Intermediate,1,No,4,Medium,No,Neutral,No,Asia,No,4.0
STUD0049,15,Female,High School,Law,Yes,6,1,Yes,Physics,Advanced,1,Yes,1,Low,Yes,Positive,No,Asia,Yes,1.0
STUD0050,23,Female,High School,Arts,No,4,5,Yes,Art,Intermediate,3,No,2,Low,Yes,Positive,No,Europe,Yes,2.0
STUD0051,14,Prefer not to say,Undergraduate,Law,No,9,5,Yes,Computer Science,Beginner,4,Yes,1,Low,Yes,Negative,Yes,North America,Yes,1.0
STUD0052,18,Non-binary,High School,Business,No,6,3,Yes,Math,Beginner,5,No,2,High,No,Positive,No,South America,Yes,2.0
STUD0053,28,Female,Postgraduate,Arts,No,9,1,No,History,Beginner,5,Yes,5,High,Yes,Positive,No,South America,No,5.0
STUD0054,26,Non-binary,Postgraduate,Business,Yes,7,2,No,Physics,Beginner,3,No,4,Medium,Yes,Neutral,Yes,North America,Yes,4.0
STUD0055,29,Male,High School,Medicine,No,9,5,Yes,Math,Advanced,4,Yes,5,Medium,No,Negative,No,Oceania,No,5.0
STUD0056,14,Male,Undergraduate,Arts,No,2,3,No,Math,Advanced,2,Yes,2,High,No,Positive,No,South America,Yes,2.0
STUD0057,25,Female,Postgraduate,Business,Yes,2,3,No,History,Intermediate,4,Yes,1,High,Yes,Neutral,Yes,South America,No,1.0
STUD0058,24,Non-binary,Postgraduate,Law,Yes,8,5,No,Economics,Advanced,4,Yes,4,Low,Yes,Positive,Yes,North America,No,4.0
STUD0059,25,Male,Postgraduate,Law,No,5,2,No,Math,Advanced,4,No,4,Low,No,Neutral,No,Oceania,No,4.0
STUD0060,30,Male,Postgraduate,Science,Yes,0,2,Yes,Physics,Intermediate,2,No,4,High,Yes,Negative,Yes,Oceania,Yes,4.0
STUD0061,23,Female,Postgraduate,Arts,Yes,3,2,Yes,Biology,Advanced,1,No,4,Low,No,Positive,No,Africa,Yes,4.0
STUD0062,14,Male,High School,Science,Yes,3,5,Yes,Art,Advanced,1,No,4,Medium,No,Positive,Yes,North America,No,4.0
STUD0063,25,Male,Undergraduate,Science,Yes,10,2,Yes,History,Beginner,3,Yes,1,Low,No,Neutral,Yes,Oceania,Yes,1.0
STUD0064,20,Non-binary,Postgraduate,Education,No,9,5,Yes,Physics,Advanced,2,No,4,High,Yes,Neutral,No,Africa,Yes,4.0
STUD0065,24,Prefer not to say,Postgraduate,Education,No,9,5,Yes,Biology,Advanced,2,Yes,5,Medium,Yes,Positive,Yes,Europe,Yes,5.0
STUD0066,19,Male,High School,Law,Yes,5,1,No,Biology,Beginner,3,Yes,1,High,No,Negative,No,South America,Yes,1.0
STUD0067,16,Non-binary,Postgraduate,Business,Yes,2,1,Yes,Physics,Advanced,3,No,3,Low,Yes,Positive,Yes,Africa,Yes,3.0
STUD0068,22,Non-binary,Postgraduate,Arts,No,4,5,Yes,Biology,Intermediate,4,No,3,Low,Yes,Neutral,No,Europe,Yes,3.0
STUD0069,16,Prefer not to say,High School,Medicine,No,3,3,No,History,Advanced,3,Yes,1,High,No,Positive,No,South America,Yes,1.0
STUD0070,27,Non-binary,Postgraduate,Science,Yes,6,2,Yes,Physics,Advanced,1,No,1,Low,No,Positive,Yes,Africa,No,1.0
STUD0071,29,Male,Postgraduate,Business,No,1,2,No,Physics,Advanced,5,Yes,4,High,Yes,Positive,No,Asia,Yes,4.0
STUD0072,20,Female,Postgraduate,Science,No,7,4,Yes,Art,Advanced,3,Yes,2,High,No,Neutral,No,Africa,No,2.0
STUD0073,23,Male,Undergraduate,Arts,No,3,3,No,Biology,Intermediate,2,No,5,High,Yes,Negative,No,Europe,Yes,5.0
STUD0074,17,Prefer not to say,Postgraduate,Science,Yes,3,1,Yes,Art,Advanced,4,Yes,1,High,Yes,Positive,Yes,Africa,Yes,1.0
STUD0075,19,Female,Postgraduate,Business,No,9,2,No,Computer Science,Beginner,5,No,1,Medium,No,Neutral,No,Africa,No,1.0
STUD0076,17,Prefer not to say,Postgraduate,Education,Yes,9,1,Yes,Biology,Intermediate,5,Yes,5,Medium,No,Neutral,No,Oceania,Yes,5.0
STUD0077,30,Non-binary,Postgraduate,Arts,No,9,1,No,Computer Science,Advanced,4,Yes,1,Medium,No,Positive,No,Europe,Yes,1.0
STUD0078,20,Male,Postgraduate,Science,Yes,7,5,Yes,Economics,Intermediate,2,No,4,High,Yes,Negative,Yes,Africa,No,4.0
STUD0079,20,Prefer not to say,High School,Science,Yes,0,5,Yes,History,Advanced,3,Yes,1,Low,No,Negative,Yes,North America,No,1.0
STUD0080,18,Non-binary,Postgraduate,Science,Yes,1,3,No,Biology,Advanced,5,Yes,1,High,No,Positive,Yes,Oceania,No,1.0
STUD0081,23,Female,High School,Engineering,Yes,2,3,Yes,Economics,Advanced,1,Yes,5,High,No,Positive,Yes,South America,No,5.0
STUD0082,30,Non-binary,Undergraduate,Law,No,7,5,Yes,Art,Intermediate,3,Yes,2,High,Yes,Negative,No,Europe,No,2.0
STUD0083,30,Non-binary,Undergraduate,Law,No,10,4,No,Biology,Advanced,2,No,3,High,Yes,Negative,No,North America,Yes,3.0
STUD0084,14,Non-binary,Undergraduate,Education,No,10,1,Yes,Economics,Advanced,5,No,3,Low,No,Positive,No,Africa,Yes,3.0
STUD0085,27,Prefer not to say,Postgraduate,Medicine,No,10,3,Yes,Computer Science,Intermediate,2,No,5,High,No,Neutral,Yes,Europe,No,5.0
STUD0086,23,Male,Undergraduate,Education,No,9,4,No,History,Beginner,2,Yes,5,Medium,No,Positive,Yes,North America,No,5.0
STUD0087,24,Non-binary,Postgraduate,Education,No,6,4,Yes,Computer Science,Advanced,1,No,1,Medium,No,Positive,Yes,Oceania,Yes,1.0
STUD0088,16,Prefer not to say,Undergraduate,Engineering,Yes,2,1,Yes,Art,Advanced,1,No,1,Medium,No,Neutral,Yes,South America,Yes,1.0
STUD0089,23,Female,Undergraduate,Business,No,8,3,Yes,Art,Advanced,3,Yes,4,Medium,No,Negative,No,Oceania,Yes,4.0
STUD0090,16,Prefer not to say,High School,Medicine,Yes,5,2,Yes,Computer Science,Advanced,3,Yes,2,Low,Yes,Positive,No,Asia,No,2.0
STUD0091,26,Male,High School,Science,Yes,2,2,Yes,Math,Beginner,4,No,5,Medium,No,Neutral,No,South America,Yes,5.0
STUD0092,30,Female,Postgraduate,Engineering,No,1,5,Yes,Art,Beginner,2,No,3,Medium,Yes,Neutral,No,South America,No,3.0
STUD0093,16,Non-binary,Undergraduate,Arts,Yes,7,2,Yes,Computer Science,Beginner,2,No,5,Low,No,Neutral,Yes,North America,Yes,5.0
STUD0094,12,Non-binary,High School,Law,Yes,6,2,No,Physics,Intermediate,1,Yes,4,Low,Yes,Positive,No,South America,Yes,4.0
STUD0095,13,Prefer not to say,High School,Science,Yes,3,5,Yes,Biology,Intermediate,4,Yes,1,Medium,Yes,Negative,No,Europe,Yes,1.0
STUD0096,30,Prefer not to say,Undergraduate,Education,No,10,4,No,Physics,Intermediate,1,Yes,4,Low,No,Neutral,Yes,Europe,No,4.0
STUD0097,30,Prefer not to say,High School,Law,No,5,3,Yes,Math,Advanced,5,No,5,High,Yes,Positive,Yes,Asia,No,5.0
STUD0098,15,Female,High School,Education,Yes,0,1,Yes,Physics,Beginner,3,Yes,1,Low,No,Positive,No,Asia,No,1.0
STUD0099,25,Non-binary,High School,Education,No,4,5,Yes,Economics,Intermediate,5,Yes,1,Medium,Yes,Positive,Yes,Asia,No,1.0
STUD0100,17,Prefer not to say,Undergraduate,Medicine,Yes,7,1,No,History,Beginner,4,No,2,Medium,No,Negative,No,Africa,No,2.0
STUD0101,29,Non-binary,Undergraduate,Business,No,2,5,No,Physics,Advanced,3,No,2,High,Yes,Positive,Yes,Asia,No,2.0
STUD0102,26,Female,Undergraduate,Engineering,No,4,2,Yes,Physics,Intermediate,3,Yes,1,Low,Yes,Positive,Yes,Europe,No,1.0
STUD0103,18,Female,Postgraduate,Engineering,Yes,2,1,No,Art,Intermediate,2,Yes,1,High,Yes,Neutral,No,Africa,No,1.0
STUD0104,21,Male,Undergraduate,Medicine,No,7,3,Yes,Art,Intermediate,4,Yes,1,Low,Yes,Positive,Yes,Europe,Yes,1.0
STUD0105,15,Female,Postgraduate,Education,No,2,3,No,History,Beginner,3,Yes,5,Medium,No,Negative,Yes,Asia,No,5.0
STUD0106,17,Female,Postgraduate,Education,No,5,5,No,Art,Advanced,1,No,4,High,No,Positive,No,South America,Yes,4.0
STUD0107,25,Female,High School,Law,Yes,4,3,Yes,Physics,Intermediate,1,Yes,4,High,No,Positive,No,Africa,Yes,4.0
STUD0108,13,Prefer not to say,Postgraduate,Engineering,No,1,2,Yes,Economics,Intermediate,3,No,3,High,No,Neutral,Yes,North America,Yes,3.0
STUD0109,17,Male,Postgraduate,Science,No,10,3,No,Computer Science,Intermediate,2,Yes,5,High,Yes,Positive,Yes,Asia,Yes,5.0
STUD0110,29,Male,High School,Education,Yes,6,5,No,Physics,Intermediate,3,No,2,Medium,Yes,Negative,Yes,Oceania,No,2.0
STUD0111,24,Female,High School,Law,No,1,1,Yes,History,Beginner,2,No,2,Medium,No,Neutral,Yes,Asia,No,2.0
STUD0112,22,Non-binary,Undergraduate,Medicine,Yes,3,1,No,Economics,Beginner,5,No,2,Medium,Yes,Positive,No,Africa,No,2.0
STUD0113,27,Female,Postgraduate,Education,No,7,5,No,Biology,Intermediate,4,Yes,3,Low,Yes,Neutral,No,Asia,Yes,3.0
STUD0114,15,Non-binary,Postgraduate,Engineering,No,7,5,Yes,History,Intermediate,3,No,4,Medium,Yes,Negative,Yes,Asia,Yes,4.0
STUD0115,28,Non-binary,Postgraduate,Business,Yes,0,2,No,Biology,Advanced,5,No,3,Low,No,Neutral,Yes,Africa,Yes,3.0
STUD0116,28,Prefer not to say,Undergraduate,Education,No,4,4,No,History,Beginner,1,Yes,1,Medium,No,Positive,No,South America,Yes,1.0
STUD0117,25,Female,Postgraduate,Law,Yes,8,2,No,History,Intermediate,3,Yes,4,Low,No,Positive,Yes,Oceania,No,4.0
STUD0118,20,Male,Undergraduate,Business,No,1,1,No,Math,Beginner,4,Yes,2,Medium,Yes,Positive,Yes,Europe,No,2.0
STUD0119,14,Prefer not to say,Undergraduate,Science,No,2,4,No,Physics,Intermediate,1,Yes,4,Low,Yes,Neutral,No,Oceania,No,4.0
STUD0120,20,Prefer not to say,Postgraduate,Engineering,Yes,6,3,No,Biology,Intermediate,3,Yes,2,High,Yes,Positive,No,Africa,Yes,2.0
STUD0121,13,Non-binary,Postgraduate,Education,No,5,5,No,Economics,Intermediate,5,Yes,3,Medium,Yes,Neutral,Yes,Africa,No,3.0
STUD0122,24,Prefer not to say,Postgraduate,Medicine,Yes,5,2,No,Computer Science,Beginner,4,Yes,4,Low,Yes,Neutral,Yes,Oceania,No,4.0
STUD0123,24,Non-binary,High School,Education,No,1,4,No,Biology,Advanced,3,Yes,5,Low,No,Negative,Yes,South America,No,5.0
STUD0124,28,Male,Undergraduate,Engineering,No,9,2,Yes,History,Beginner,1,No,5,Low,No,Positive,No,Asia,No,5.0
STUD0125,20,Prefer not to say,Postgraduate,Education,Yes,2,3,Yes,Math,Intermediate,5,Yes,3,Low,No,Neutral,Yes,Asia,No,3.0
STUD0126,15,Prefer not to say,Undergraduate,Engineering,Yes,5,3,Yes,Math,Intermediate,4,Yes,2,Medium,Yes,Negative,Yes,Africa,No,2.0
STUD0127,27,Male,Postgraduate,Engineering,No,8,2,No,Economics,Intermediate,1,No,5,Medium,No,Neutral,Yes,Oceania,No,5.0
STUD0128,26,Prefer not to say,Postgraduate,Arts,Yes,7,3,No,Math,Beginner,1,Yes,4,High,Yes,Neutral,Yes,Asia,No,4.0
STUD0129,17,Non-binary,Undergraduate,Science,Yes,10,4,No,Economics,Beginner,1,Yes,4,High,No,Positive,Yes,Oceania,Yes,4.0
STUD0130,24,Male,High School,Medicine,Yes,7,5,Yes,Computer Science,Intermediate,1,Yes,1,High,Yes,Neutral,No,South America,Yes,1.0
STUD0131,28,Prefer not to say,High School,Medicine,Yes,4,4,Yes,Physics,Intermediate,2,No,4,High,No,Neutral,No,Oceania,No,4.0
STUD0132,24,Non-binary,High School,Business,No,6,3,No,Economics,Advanced,2,No,4,High,Yes,Neutral,Yes,Africa,Yes,4.0
STUD0133,12,Prefer not to say,Postgraduate,Medicine,No,2,4,Yes,Art,Intermediate,3,Yes,2,High,Yes,Negative,No,Oceania,Yes,2.0
STUD0134,12,Non-binary,Postgraduate,Law,Yes,4,2,Yes,Biology,Advanced,3,No,5,High,No,Neutral,No,Asia,Yes,5.0
STUD0135,15,Female,Postgraduate,Medicine,Yes,7,1,No,Biology,Advanced,1,Yes,3,Medium,Yes,Neutral,No,Oceania,Yes,3.0
STUD0136,23,Non-binary,Undergraduate,Engineering,No,8,5,Yes,Computer Science,Beginner,3,No,1,High,Yes,Negative,No,North America,Yes,1.0
STUD0137,30,Non-binary,Undergraduate,Law,No,10,5,No,Biology,Intermediate,4,Yes,3,Low,No,Negative,No,South America,No,3.0
STUD0138,18,Non-binary,Undergraduate,Medicine,No,4,5,Yes,Biology,Intermediate,3,Yes,4,Low,No,Negative,Yes,Asia,Yes,4.0
STUD0139,19,Non-binary,Undergraduate,Engineering,Yes,4,5,No,Biology,Intermediate,1,Yes,5,High,No,Neutral,No,Europe,No,5.0
STUD0140,15,Non-binary,Undergraduate,Engineering,No,1,3,Yes,Math,Advanced,5,No,4,Medium,Yes,Neutral,No,North America,Yes,4.0
STUD0141,17,Prefer not to say,Undergraduate,Medicine,No,1,3,Yes,Math,Beginner,1,Yes,2,Low,Yes,Positive,Yes,Africa,No,2.0
STUD0142,12,Female,High School,Engineering,Yes,9,2,Yes,Biology,Advanced,4,Yes,4,High,Yes,Positive,No,Africa,Yes,4.0
STUD0143,30,Non-binary,Postgraduate,Education,No,6,2,No,Biology,Advanced,1,Yes,2,Low,No,Positive,No,Asia,Yes,2.0
STUD0144,25,Non-binary,Undergraduate,Medicine,Yes,2,5,Yes,History,Advanced,3,Yes,4,Low,Yes,Neutral,No,North America,Yes,4.0
STUD0145,16,Prefer not to say,High School,Medicine,Yes,6,1,No,Computer Science,Beginner,1,No,2,High,No,Negative,No,Europe,Yes,2.0
STUD0146,12,Non-binary,Undergraduate,Law,Yes,6,3,No,History,Intermediate,1,No,1,Low,Yes,Neutral,No,South America,No,1.0
STUD0147,13,Female,High School,Arts,Yes,7,3,Yes,Physics,Beginner,2,Yes,3,High,No,Neutral,No,Africa,No,3.0
STUD0148,27,Non-binary,Undergraduate,Education,Yes,7,3,Yes,Economics,Advanced,4,Yes,1,Low,No,Negative,No,Asia,No,1.0
STUD0149,22,Prefer not to say,Undergraduate,Education,No,2,1,No,Economics,Beginner,5,Yes,1,Medium,Yes,Negative,Yes,Asia,Yes,1.0
STUD0150,26,Female,High School,Medicine,No,7,4,Yes,Computer Science,Beginner,5,Yes,5,Medium,No,Neutral,Yes,Europe,No,5.0
STUD0151,25,Male,High School,Law,No,5,3,Yes,Physics,Advanced,5,No,2,Low,Yes,Positive,Yes,North America,No,2.0
STUD0152,23,Female,High School,Engineering,Yes,5,5,No,Math,Intermediate,4,Yes,1,Medium,Yes,Negative,No,Africa,No,1.0
STUD0153,16,Female,High School,Law,No,6,4,No,Physics,Beginner,2,Yes,2,Low,Yes,Negative,No,Asia,Yes,2.0
STUD0154,14,Male,Postgraduate,Business,Yes,3,5,Yes,History,Beginner,4,No,5,Low,No,Negative,No,Europe,No,5.0
STUD0155,15,Male,High School,Business,No,0,5,No,History,Advanced,3,No,3,High,Yes,Positive,No,Africa,No,3.0
STUD0156,16,Female,Postgraduate,Science,No,3,5,No,Math,Advanced,2,No,2,Low,Yes,Positive,No,Asia,Yes,2.0
STUD0157,28,Non-binary,High School,Engineering,Yes,4,2,No,History,Advanced,3,No,5,Medium,Yes,Neutral,No,Oceania,No,5.0
STUD0158,17,Prefer not to say,Postgraduate,Arts,No,1,2,Yes,Math,Intermediate,1,No,5,Low,Yes,Positive,Yes,Europe,Yes,5.0
STUD0159,26,Prefer not to say,High School,Engineering,No,7,1,Yes,Math,Intermediate,5,Yes,4,Low,Yes,Neutral,No,North America,No,4.0
STUD0160,13,Prefer not to say,Postgraduate,Science,No,3,3,No,History,Advanced,1,No,3,High,Yes,Positive,No,Europe,No,3.0
STUD0161,27,Male,Postgraduate,Law,No,9,1,Yes,Biology,Beginner,5,No,1,Medium,Yes,Neutral,Yes,North America,No,1.0
STUD0162,28,Prefer not to say,High School,Business,No,2,3,Yes,Computer Science,Advanced,5,Yes,3,High,Yes,Neutral,No,Europe,Yes,3.0
STUD0163,16,Prefer not to say,Postgraduate,Medicine,No,6,5,No,Art,Advanced,3,Yes,4,Medium,Yes,Neutral,No,South America,No,4.0
STUD0164,24,Prefer not to say,Undergraduate,Education,No,4,3,Yes,Physics,Intermediate,2,No,3,High,No,Neutral,No,Europe,Yes,3.0
STUD0165,14,Female,Undergraduate,Engineering,No,1,5,Yes,Economics,Intermediate,1,Yes,3,Low,No,Neutral,No,Asia,Yes,3.0
STUD0166,22,Male,Postgraduate,Engineering,Yes,5,4,No,Computer Science,Intermediate,2,Yes,2,Low,No,Positive,No,South America,Yes,2.0
STUD0167,26,Male,Undergraduate,Engineering,No,0,1,Yes,Math,Beginner,2,No,5,High,No,Negative,Yes,Africa,Yes,5.0
STUD0168,26,Non-binary,Postgraduate,Arts,No,6,5,Yes,Economics,Advanced,1,Yes,4,High,No,Positive,Yes,Oceania,No,4.0
STUD0169,17,Female,Undergraduate,Law,Yes,5,1,No,Art,Beginner,3,Yes,5,Medium,Yes,Negative,No,Africa,Yes,5.0
STUD0170,14,Non-binary,Undergraduate,Arts,No,7,2,Yes,Economics,Beginner,3,Yes,3,Medium,No,Neutral,Yes,Africa,No,3.0
STUD0171,30,Prefer not to say,High School,Medicine,Yes,3,4,No,Math,Beginner,3,Yes,3,Low,Yes,Negative,No,Europe,Yes,3.0
STUD0172,15,Female,Undergraduate,Science,Yes,4,4,No,Economics,Intermediate,5,No,1,High,Yes,Negative,Yes,North America,No,1.0
STUD0173,16,Female,Undergraduate,Science,No,0,4,No,Economics,Advanced,4,Yes,3,High,No,Neutral,Yes,South America,Yes,3.0
STUD0174,20,Prefer not to say,Undergraduate,Science,Yes,10,1,Yes,Art,Advanced,2,Yes,2,High,No,Positive,Yes,South America,Yes,2.0
STUD0175,18,Prefer not to say,High School,Medicine,No,1,4,No,Economics,Intermediate,1,No,5,Medium,No,Negative,Yes,Europe,Yes,5.0
STUD0176,25,Female,Undergraduate,Science,No,1,3,Yes,Economics,Beginner,4,Yes,1,Low,No,Positive,Yes,Africa,Yes,1.0
STUD0177,29,Male,High School,Medicine,Yes,9,3,No,Computer Science,Beginner,3,Yes,2,High,Yes,Positive,No,North America,Yes,2.0
STUD0178,22,Male,Postgraduate,Law,Yes,7,5,No,Math,Beginner,4,Yes,5,High,Yes,Neutral,Yes,Oceania,Yes,5.0
STUD0179,29,Prefer not to say,High School,Science,Yes,10,3,Yes,Art,Intermediate,2,No,2,High,No,Neutral,Yes,Asia,Yes,2.0
STUD0180,16,Prefer not to say,Postgraduate,Medicine,Yes,10,5,No,Art,Advanced,3,Yes,4,Medium,Yes,Negative,No,Europe,Yes,4.0
STUD0181,12,Prefer not to say,High School,Engineering,Yes,3,5,No,Biology,Intermediate,2,No,5,Medium,No,Positive,No,North America,Yes,5.0
STUD0182,16,Male,Postgraduate,Business,Yes,10,3,Yes,Math,Intermediate,5,No,3,Low,Yes,Positive,Yes,Asia,Yes,3.0
STUD0183,26,Non-binary,High School,Business,No,9,4,No,Math,Intermediate,2,No,3,High,No,Positive,Yes,South America,No,3.0
STUD0184,22,Male,Undergraduate,Science,No,3,4,No,History,Advanced,5,No,2,High,Yes,Positive,No,Asia,No,2.0
STUD0185,27,Non-binary,Undergraduate,Science,No,3,4,No,Physics,Intermediate,4,No,3,High,No,Neutral,No,Africa,No,3.0
